"","keyid","year","language","country","n"
"1","paevalehtew",1934,"Estonian","Estonia",359
"2","paevalehtew",1935,"Estonian","Estonia",359
"3","deutschezeitungimostland",1942,"German","Latvia",358
"4","deutschezeitungimostland",1943,"German","Latvia",356
"5","paevalehtew",1932,"Estonian","Estonia",356
"6","paevalehtew",1928,"Estonian","Estonia",355
"7","paevalehtew",1931,"Estonian","Estonia",355
"8","paevalehtew",1933,"Estonian","Estonia",355
"9","postimeesew",1928,"Estonian","Estonia",355
"10","postimeesew",1934,"Estonian","Estonia",355
"11","postimeesew",1935,"Estonian","Estonia",355
"12","uuseesti",1939,"Estonian","Estonia",355
"13","paevalehtew",1926,"Estonian","Estonia",354
"14","paevalehtew",1930,"Estonian","Estonia",354
"15","paevalehtew",1937,"Estonian","Estonia",354
"16","paevalehtew",1939,"Estonian","Estonia",354
"17","postimeesew",1927,"Estonian","Estonia",354
"18","postimeesew",1929,"Estonian","Estonia",354
"19","postimeesew",1930,"Estonian","Estonia",354
"20","uuseesti",1937,"Estonian","Estonia",354
"21","uuseesti",1938,"Estonian","Estonia",354
"22","vestidnja",1927,"Russian","Estonia",354
"23","vestidnja",1929,"Russian","Estonia",354
"24","paevalehtew",1929,"Estonian","Estonia",353
"25","paevalehtew",1936,"Estonian","Estonia",353
"26","paevalehtew",1938,"Estonian","Estonia",353
"27","postimeesew",1925,"Estonian","Estonia",353
"28","postimeesew",1937,"Estonian","Estonia",353
"29","postimeesew",1938,"Estonian","Estonia",353
"30","uuseesti",1936,"Estonian","Estonia",353
"31","vestidnja",1928,"Russian","Estonia",353
"32","paevalehtew",1927,"Estonian","Estonia",352
"33","postimeesew",1924,"Estonian","Estonia",352
"34","postimeesew",1926,"Estonian","Estonia",352
"35","postimeesew",1931,"Estonian","Estonia",352
"36","postimeesew",1936,"Estonian","Estonia",352
"37","postimeesew",1939,"Estonian","Estonia",352
"38","vestidnja",1930,"Russian","Estonia",352
"39","kaja",1924,"Estonian","Estonia",350
"40","kaja",1923,"Estonian","Estonia",349
"41","paevalehtew",1923,"Estonian","Estonia",349
"42","postimeesew",1923,"Estonian","Estonia",349
"43","paevalehtew",1921,"Estonian","Estonia",348
"44","wabamaa",1921,"Estonian","Estonia",348
"45","vestidnja",1931,"Russian","Estonia",340
"46","poslednijaizvestija",1924,"Russian","Estonia",330
"47","paevalehtew",1925,"Estonian","Estonia",328
"48","poslednijaizvestija",1923,"Russian","Estonia",326
"49","sonumilehtsl",1998,"Estonian","Estonia",325
"50","paevalehtew",1922,"Estonian","Estonia",324
"51","kaja",1921,"Estonian","Estonia",316
"52","paevalehtew",1924,"Estonian","Estonia",316
"53","punavaelane",1943,"Estonian","Estonia",316
"54","punavaelane",1944,"Estonian","Estonia",316
"55","sonumilehtsl",1997,"Estonian","Estonia",316
"56","kaja",1925,"Estonian","Estonia",315
"57","kaja",1922,"Estonian","Estonia",312
"58","poslednijaizvestija",1921,"Russian","Estonia",311
"59","postimeesew",1922,"Estonian","Estonia",310
"60","vabamaaparnu",1929,"Estonian","Estonia",310
"61","poslednijaizvestija",1922,"Russian","Estonia",309
"62","juturaamatrahvale",1939,"Estonian","Estonia",307
"63","kaja",1928,"Estonian","Estonia",307
"64","kaja",1933,"Estonian","Estonia",307
"65","kaja",1934,"Estonian","Estonia",307
"66","postimeesew",1942,"Estonian","Estonia",307
"67","rahvalehtvabamaa",1939,"Estonian","Estonia",307
"68","wabamaa",1932,"Estonian","Estonia",307
"69","kaja",1932,"Estonian","Estonia",306
"70","postimeesew",1933,"Estonian","Estonia",306
"71","postimeesew",1945,"Estonian","Estonia",306
"72","vestidnja",1933,"Russian","Estonia",306
"73","wabamaa",1933,"Estonian","Estonia",306
"74","wabamaa",1934,"Estonian","Estonia",306
"75","wabamaa",1935,"Estonian","Estonia",306
"76","kaja",1927,"Estonian","Estonia",305
"77","kaja",1929,"Estonian","Estonia",305
"78","postimeesew",1932,"Estonian","Estonia",305
"79","revalschezeitung",1876,"Estonian","Estonia",305
"80","revalschezeitung",1884,"Estonian","Estonia",305
"81","vestidnja",1932,"Russian","Estonia",305
"82","wabamaa",1922,"Estonian","Estonia",305
"83","wabamaa",1926,"Estonian","Estonia",305
"84","wabamaa",1927,"Estonian","Estonia",305
"85","wabamaa",1931,"Estonian","Estonia",305
"86","estdagbladet",1960,"Estonian","Sweden",304
"87","estdagbladet",1966,"Estonian","Sweden",304
"88","kaja",1930,"Estonian","Estonia",304
"89","kaja",1931,"Estonian","Estonia",304
"90","revalschezeitung",1868,"Estonian","Estonia",304
"91","revalschezeitung",1873,"Estonian","Estonia",304
"92","revalschezeitung",1874,"Estonian","Estonia",304
"93","revalschezeitung",1879,"Estonian","Estonia",304
"94","sonumilehtsl",1996,"Estonian","Estonia",304
"95","stockholmstid",1948,"Estonian","Sweden",304
"96","stockholmstid",1955,"Estonian","Sweden",304
"97","vestidnja",1934,"Russian","Estonia",304
"98","wabamaa",1930,"Estonian","Estonia",304
"99","estdagbladet",1963,"Estonian","Sweden",303
"100","estdagbladet",1964,"Estonian","Sweden",303
"101","estdagbladet",1965,"Estonian","Sweden",303
"102","estdagbladet",1968,"Estonian","Sweden",303
"103","paevaleht",1994,"Estonian","Estonia",303
"104","pealinnateatajapl",1916,"Estonian","Russia",303
"105","revalschezeitung",1861,"Estonian","Estonia",303
"106","revalschezeitung",1862,"Estonian","Estonia",303
"107","revalschezeitung",1864,"Estonian","Estonia",303
"108","revalschezeitung",1865,"Estonian","Estonia",303
"109","revalschezeitung",1866,"Estonian","Estonia",303
"110","revalschezeitung",1867,"Estonian","Estonia",303
