"","keyid","title","start","end","language","country","duration","tooltip","l_color"
"1","aadressleht","Aadressleht","1929-09-06","1929-10-08","Estonian","Estonia",0.0876712328767123,"Aadressleht<br>From <b>1929-09-06</b> to <b>1929-10-08</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"2","aastaettelouna","Aasta ettevõtlus 2018: Lõuna-Eesti : [ajalehe Lõuna-Eesti Postimees lisa]","2018-12-14","2021-12-10","Estonian","Estonia",2.99178082191781,"Aasta ettevõtlus 2018: Lõuna-Eesti : [ajalehe Lõuna-Eesti Postimees lisa]<br>From <b>2018-12-14</b> to <b>2021-12-10</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"3","aastaetteparnu","Aasta ettevõtlus 2018: Pärnumaa : [ajalehe Pärnu Postimees lisa]","2018-12-18","2020-11-27","Estonian","Estonia",1.94520547945205,"Aasta ettevõtlus 2018: Pärnumaa : [ajalehe Pärnu Postimees lisa]<br>From <b>2018-12-18</b> to <b>2020-11-27</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"4","aastaettetartu","Aasta ettevõtlus 2018: Tartu ja Tartumaa : [ajalehe Tartu Postimees lisa]","2018-12-28","2021-09-30","Estonian","Estonia",2.75890410958904,"Aasta ettevõtlus 2018: Tartu ja Tartumaa : [ajalehe Tartu Postimees lisa]<br>From <b>2018-12-28</b> to <b>2021-09-30</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"5","aastaetteviljandi","Aasta ettevõtlus 2018: Viljandimaa : [ajalehe Sakala lisa]","2018-11-30","2021-11-19","Estonian","Estonia",2.97260273972603,"Aasta ettevõtlus 2018: Viljandimaa : [ajalehe Sakala lisa]<br>From <b>2018-11-30</b> to <b>2021-11-19</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"6","aastaetteviru","Aasta ettevõtlus 2018: Virumaa : [ajalehe Virumaa Teataja lisa]","2018-11-23","2021-11-13","Estonian","Estonia",2.97534246575342,"Aasta ettevõtlus 2018: Virumaa : [ajalehe Virumaa Teataja lisa]<br>From <b>2018-11-23</b> to <b>2021-11-13</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"7","aastalopp","Aastalõpp : [ajalehtede Meie Maa ja Hiiu Leht lisa]","2014-12-31","2021-12-31","Estonian","Estonia",7.0054794520548,"Aastalõpp : [ajalehtede Meie Maa ja Hiiu Leht lisa]<br>From <b>2014-12-31</b> to <b>2021-12-31</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"8","abieluleht","Abieluleht","1931-02-08","1933-04-16","Estonian","Estonia",2.18630136986301,"Abieluleht<br>From <b>1931-02-08</b> to <b>1933-04-16</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"9","aegjavaim","Aeg & Vaim = Tempus & Spiritus","2012-09-03","2022-02-18","Estonian","Estonia",9.46575342465753,"Aeg & Vaim = Tempus & Spiritus<br>From <b>2012-09-03</b> to <b>2022-02-18</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"10","aegviiduaeg","Aegviidu Aeg","2008-01-01","2017-11-07","Estonian","Estonia",9.85753424657534,"Aegviidu Aeg<br>From <b>2008-01-01</b> to <b>2017-11-07</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"11","agent","Agent","2004-12-01","2009-11-01","Estonian","Estonia",4.92054794520548,"Agent<br>From <b>2004-12-01</b> to <b>2009-11-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"12","ahjavalla","Ahja Valla Teabeleht","2014-03-01","2017-10-30","Estonian","Estonia",3.66849315068493,"Ahja Valla Teabeleht<br>From <b>2014-03-01</b> to <b>2017-10-30</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"13","aiatoole","Aiatööleht : Kuukiri aiatöö ja mesilastepidamise edendamiseks","1907-01-10","1918-03-27","Estonian","Estonia",11.2164383561644,"Aiatööleht : Kuukiri aiatöö ja mesilastepidamise edendamiseks<br>From <b>1907-01-10</b> to <b>1918-03-27</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"14","ajalehttln","Ajaleht","1913-02-16","1914-01-07","Estonian","Estonia",0.89041095890411,"Ajaleht<br>From <b>1913-02-16</b> to <b>1914-01-07</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"15","ajaviiteleht","Ajaviiteleht","1933-04-16","1933-06-11","Estonian","Estonia",0.153424657534247,"Ajaviiteleht<br>From <b>1933-04-16</b> to <b>1933-06-11</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"16","AKabiline","Abiline : [ajakiri]","2017-10-01","2018-04-01","Estonian","Estonia",0.498630136986301,"Abiline : [ajakiri]<br>From <b>2017-10-01</b> to <b>2018-04-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"17","AKagraarteadus","Agraarteadus = Journal of agricultural science : Akadeemilise Põllumajanduse Seltsi väljaann","2017-06-01","2021-12-01","Estonian","Estonia",4.5041095890411,"Agraarteadus = Journal of agricultural science : Akadeemilise Põllumajanduse Seltsi väljaann<br>From <b>2017-06-01</b> to <b>2021-12-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"18","AKakadeemia","Akadeemia : Eesti Kirjanike Liidu kuukiri Tartus","2017-01-01","2022-02-01","Estonian","Estonia",5.08767123287671,"Akadeemia : Eesti Kirjanike Liidu kuukiri Tartus<br>From <b>2017-01-01</b> to <b>2022-02-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
"19","AKambitsioon","Ambitsioon : SEB kliendiajakiri","2018-08-01","2020-03-01","Estonian","Estonia",1.58356164383562,"Ambitsioon : SEB kliendiajakiri<br>From <b>2018-08-01</b> to <b>2020-03-01</b><br>issued in <b>Estonia</b> in <b>Estonian</b> language</br>","#899DA4"
