"","keyid","section_id","text","lang_cln","lang"
"1","ekmteataja","ekmteataja18710825.2.3.3","С.-Петербургъ, 20 Августа 1871 г.  Спб. Баржа. Курсъ на три месяца. ÄO-ro Августа 1871 года. На Лондонъ 32, Ш% пенс. » Аметерда*ъ 158 %, 159 ценц. » Гамбурге 28®% г, IВ / 1в игал. банк. » Паряжъ 341, 342 сант. Wochfel-Cours. St. Petersburg, den 20. August 1871. Auf London. . 3Mon. 32, 32| . . pr. 1 Rbl. „ Amsterdam do. &gt;s9 . do. „ Hamburg. do. 28M, H• , • do- „ Paris... do. 341, 342 .. . do. ","belarus","belarus-windows1251"
"2","livzeitung","livzeitung18691201.2.2.5","Торги.  Torge.  Vom Rigaschen Ordnungsgerichte wird desmittelst zur allgemeinen Kenntniß gebracht, daß am 13. Decembere. um 12 Uhr Vormittags im Sitzungsloeale dieser Behörde nachstehende einem wegen Diebstahls Hierselbst in Untersuchung gestandenen Individuum abgenommene Bücher öffentlich und meistbietlich gegen sofortige Baarzahlung verkauft werden sotten. 1. Gedich-te von Julius Sturm, 2. Cesars Weltgeschichte, 3. Bibel in Goldschnitt, 4. Das Wort der Frau von Heyder, 5. Die bezauberte Rose von Schulze, 6. Die Berliner Gallerie, 7. Unsere Pilgerfahrt von E. Pvlko, 8. DaS neue Testament, Taschenausgabe. Riga Ordnungsgericht, den 24. Nov. 1869. Nr. 10,673. 2  Von dem Rigaschen Stadt - Cassa - Collegium werden drei unter dem im Wolmarschen Kreise, Lemsalschen Kirchspiele belegenen Stadtgute LadenHof befindliche Waldstücke, welche in 19 Parcellen von 22 bis 41 Lofstellen Flächcnraum eingeteilt worden und unweit des Starpelkrnges und des Reebe-Gesindeö an der Pernigelschen Grenze belegen  |mb, auf 40 Jahre vom 23. April 1870 ab zur Benutzung als Oeconomielcmd verpachtet werden. Der Ausbot dieser LandparceNen wird am 13. Decemkr 1869 um 10 Uhr Morgens im Ladenhofschen Räusche-Gesinde stattfinden. Diejenigen, welche diese Landstllcke pachten wollen, können die Bedingungen vor dem Torge bei dem Herrn Förster Liebkowsky in Lemsal-Forstei und in dem Stadt&gt;CassaColleginin in Riga durchsehen und unterzeichnen. Riga, Rathhaus den 13. November 1869. Nr. 1493. 1  Отъ РИЖСКОЙ КОММИСШ Городской Кассы отданы будутъ въ аренду для употреблешя подъ сельско - хозяйственный цели срокомъ съ 23-го Апреля 1870 года впредь на 40 лЪтъ три лЪсныя участка, состоящее въ городской вотчике ДаденгоФъ, Вольмарскаго уезда, Лемзальсжаго прихода, не подалеку отъ Старпелъ корчмы и крестьянской усадьбы Ребе на границе имешя Периигедь, разделенные на 19 мелкая части величиною отъ 22 до 41 лоФштеля. Торгъ производиться будетъ 13. Декабря въ 10 часовъ по полуночи въ Ладенгофской крестянской усадьба Науше и лица желающая брить оные участки въ аренду могутъ усматривать заранее подлежащш условш и подписывать оныя у лЪсничаго Либковскаго въ Лемзальскоагь лесничестве и въ Рижской Комиисш Городской Кассы. «Лй. 1495. 1 Г. Рига, Ратгаузъ Ноября 13. дня 1869 г.  Рижское Окружное Интендантское Управдеше объявдяетъ, что 15-го числа будущаго Декабря агЬсяца сего 1869 года въ ВоенноОкруашомъ Рижскаго Военнаго Округа, находящемся въ г. РягФ, будетъ повторенъ решительный торгъ безъ переторжки, изустный съ допущешемъ запечатанныхъ объявлений, на поставку upoßiaHTa въ сухопутные магазины ЛИФЛЯНДСКОЙ и Курляндской губершй, въ количествахъ и на сроки, показанные въ прилагаемой ведомости. Порядокъ производства торговъ и условlя доставки публикованы отъ Военнаго Министер.ства въ Ст.-Петербургскихъ и Московсрихъ в'Ьдомостяхъ въ Ноябрь М'ЬСЯЦ'Ь. Впрочемъ, объявление Министерства о порядка производства торговъ и утверждения поставокъ равно ковдицш па поставку провианта, желающт могутъ видйть до торговъ, ежедневно: въ Pnrb въ Окружномъ Интендаггтскомъ Управлении, а въ день торга и въ Роенно-Окруж-номъ и въ городахъ МитавЪ, Либавй и Ревеле, а также въ пунктахъ поставки у Смотрителей и зав'Ьдывающихъ магазинами.  Ведомость  о и срокахъ поставки провтнта въ сухопутные магазины Рижскаго Военнаго Округа на 1870 годъ.  ЛИФЛЯНДСКОЙ губорнш. Венденскгё : Четвертей муки я крупъ. къ 21. Января 1870 года . 180 19 „ 21. Февраля „ „ . 179 18 I 21. Марта в я . 117 И „ 21. Апреля „ „ . . 117 11 „ 21. Мая „ „ . . 81 3 я 21. Ьоня я . 58 6 n 21. Iюля „ я ■ • 32 3 „ 21. Августа „ « ■ • 144 13 „ 21. Сентября „ „ . - 118 11 я 21. Октября „ „ . • 118 10 „ 21. Ноября „ „ ■ • 118 10 1212 115 ВолыиарскШ: къ 21. Декабря 1869 года . . 14 2 „ 21. Января 1870 года . . 22 2 „ 21. Февраля „ я • • * 9 2 У) 21. Марта „ » - - „ 21. Апреля „ „ • • JjJ J » 21 - Мая » ' • 1? J „ 21. Iюня п „ . 24 2 „ 21. Iюля „ г&gt; • • 9 —. „ 21. Августа „ „ • • 24 2 „ 21. Сентября „ „ . 9 1 „ 21. Октября „ „ . , 9 1 „ 21. Ноября „ „ . . 9 169 14 Феллинстй : къ 21. Января 1870 года . . 149 17 я 21. Февраля „ „ . . 149 17 „ 21. Марта „ „. '. 88 9 „ 21. Апреля „ п ■ 8 „ 21. Мая „ я . . 88 8  Четвертей муки и крупъ. еть 21. Iюня 1870 года . , 27 3 „ 21. Iюдя „ „ . . 24 2 „ 21. Августа „ „ . 72 6 „ 21. Сентября „ „ . 88 8 „ 21. Октября „ п ■ • 87 8 „ 21. Ноября „ „ . . 87 8 ~~ 947 94 ДврптскМ* : къ 21. Января 1870 года . 42 6 „ 21. Февраля „ „ . . 42 5 „ 21. Марта „ „ - . 23 3 „ 21. я „ . . 23 3 „ 21. Мая „ „ . . 23 3 „ 21. Iюня „ „ ■ • 23 2 и 21. Iюдя я „ • • 23 *'2 „ 21. Августа „ „ ■ ■ 23 2 „ 21. Сентября „ „ &gt; 22 1 „ 21. Октября „ » • ■ 22 1 „ 21. Ноября „ „ • . 22 1 288 29 ВадкскШ: къ 21. Января 1870 года . 45 5 „ 21. Февраля „ „ . 44 5 ~ 21. Марта v » ■ • 25 3 „ 21. АпрЪля „ и • 25 3 я 21. Мая „ „ . 25 2 „ 21. Iюня „ » ■ • 25 2 „ 21. Iюля „ и ■ ■ 24 2 „ 21. Августа „ „ . . 24 2 „ 21. Сентября „ п ■ 24 2 5 21. Октября „ „ . . 24 2 „ 21. Ноября „ » ■ . 24 2 309 30 ВерросскШ: къ 21. Января 1870 года . 33 4 „ 21. Февраля „ -л ■ • 4 „ 21. Марта я - 15 1 я 21. Апреля „ vi ■ ■ 2 „ 21. Мая. п я ... 14 1 „ 21. Iюня „ V ■ ' 14 2 „ 21. Iюля у, а ■ • 14 1 „ 21. Августа я п • * я 21, Сентября „ » • • 14 1 „ 21. Октября 5 „ . . 14 1 i 21. Ноября „ я !4 193 18 3118 300 Курдяндской губернии. ЯкобштатскШ: къ 21. Января 1870 года . . 170 17 „ 21. Февраля „ „ . . 170 16 „ 21. Марта „ „ • * ИЗ Ю „ 21. Апреля „ я . . ИЗ 10 „ 21. Мая „ „ . .. 13 2 „ 21. Iюня „ „ . . 13 2 n 21. Iюля „ » • • 2 n 21. Августа „ „ . . 112 10 „ 21. Сентября „ „ . . 112 10 n 21. Октября „ я . . 111 Ю п 21. Ноября n » • - 111 10 1051 99 Фридрихштатстй : къ 21. Января 1870 года. 167 17 ъ 21. Февраля я я . . 167 17 „ 21. Марта „ „ . . 111 10 „ 21. Апр-Ьля „ „ . . 111 10 „ 21. Мая „ „ , . 'll 1 „ 21. Iюня я „ . . 10 1 „ 21. Iюдя я я . . 10 1 „ 21. Августа „ НО 10 „ 21. Сентября „ „ . . 110 10 „ 21. Октября „ ii ■ ' НО 10 я 21. Ноября „ я . . 110 10 1026 97 Rfl ' къ 21. Января 1870 года. . 203 21 „ 21. Февраля „ „ . - 202 20 „ 21. Марта „ „ . . 135 14 п 21. Апреля „ „ . . 135 14 „ 21. Мая „ „ . . 11 2 я 21. Iюня „ „ . Ю 2 „ 21. Iюля „ я • ■ Ю 1 „ 21. Августа „ „ . 134 13 „ 21. Сентября „ „ . • 134 12 „ 21. Октября я „ • • 134 12 ~ 21. Ноября „ „ • . 133 12 1241 123 ТуккумскШ : къ 1. Января 1870 года . . 70 6 „ 21. Января я -а ■ • 139 13 „ 21. Февраля я я . 139 13 „ 21. Марта я „ . . 85 8 „ 21. Апреля п • • 85 7 21. Мая я я . 22 2 21. Iюня „ „ . . 23 2 „ 21. Iюля „ „ . . 22 2  Четвертей луки и круге 5 21. Августа „ „ . 52 5 21. Сентября „ „ . 52 5 „ 21. Октября „ п ■ ■ 52 5 „ 21. Ноября „ я •' • 51 5 """""""" 792 73 ГольдингенскШ : къ 21. Января 1870 года . 224 23 „ 21. Февраля „ „ . . 223 22 „ 21. Марта „ „ 147 13 „ 21. Апреля Ä ii • • 143 13 „ 21. Мая „ „ . . 23 2 „ 21. Iюня „ 23 2 „ 21. Тюля „ „ . . 23 2 „ 21. Августа „ я ■ ■ """"148 13 „ 21. Сентября „ я ■ ■ 146 13 „ 21. Октября „ „ 146 13 „ 21. Ноября „ 146 13 1397 ~129 ГазенпотскШ : къ 21. Января 1870 года , 215 24 „ 21. Февраля „ п ■ ■ 214 24 „ 21. Марта „ » ■ ■ 142 14 „ 21. Апр-Ьла „ « • • 142 14 „ 21. Мая „ » ■ • 17 2 „ 21. Iюня „ „ . . 17 2 „ 21. Iюля „ » ■ ■ 17 2 „ 21. Августа „ п • ■ l2 „ 21. Сентября „ „ . . 142 12 „ 21. Октября „ „ . 141 12 „ 21. Ноября „ А • ■ l2 .1330 130 ПолангенскШ : къ 21. Января 1870 года . . 10 t „ 21. Февраля „ » 11 1 й 21. Марта „ „ . . 6 1 „ 21. Апреля „ 6 1 „ 21. Мая л „ . . 6 1 „ 21. Iюня „ . . 6 1 „ 21. Iюля „ „ . . 6 1 „ 21. Августа „ „ . . 6 „ 21; Сентября V ■ ■ 5 „ 21. Октября Ti п ■ ■ 5 „ 21. Ноября „ „ 5 72 7 Тальсенсшй: къ 21. Января 1870 года. . 8.1 „ 21. Февраля „ „ . . 7. 1 „ 21. Марта „ „ . . 5 1 „ 21. Апр-Ьля „ . л 5 1 „ 21. Мая ~ „ . . 5 1 „ 21. Iюня „ у&gt; ■ ■ 5 „ 21. Iюля „ „ . . 5 „ 21. Августа „ ' „ . . 5 „ 21. Сентября „ „ . ~ 5 „ 21. Октября ~ • 4 ~ 21. Ноября „ . . 4 58 S № 9618. 6967 663 2 Всего . . 10085 963  Die Rigasche Bezirks-Jntendantur-Verwaltung macht bekannt, daß am IS. December e. in dem Rigaschen Kriegs-Bezirksrathe ein abermaliger Torg ohne Peretorg anberaumt ist, mit Zulassung versiegelter Offerten zur Proviantlieferung für die Magazine der Landtruppen des und Kurländischen Gouvernements auf das Jahr 1870 in den in der vorangeführten Tabelle bezeichneten Quantitäten und. Terminen.  Die Bekanntmachung des Kriegsministeriums über die Ordnung der abzuhaltenden Torge, sowie auch die Bestätigung der Lieferungen und die Lieferungsbedingungen können von Torgliebhabern bis zur Abhaltung der Torge in der Intendantur-Verwaltung in Riga, so. wie auch bei den Proviant-Commissären in Mitau, Libau und Reval und am Torgtage beim Rigaschen Bezirksrathe eingesehen werden. Nr. 9618. 2  Da der am 25. September c. im Estländischen Kameralhofe abgehaltene Torg behufs Uebernähme der Lieferung des für die Kronsgebäude in Reval für die Zeit vom 1. Mai 1870 bis dahin 1871 erforderlichen Holzes und anderer Materialien resultatlos gewesen ist, so macht die Revalfche Ingenteurdistanz daß zur Uebernahme der qu. Lieferung und zwar: von 2107 Faden einHalligen Fichten- und Grähnenbrennholzes, 160 Pud Talglichte, 9 Pud 7y a Pfund Hanföl, 61'/ 4 Arschin Baumwollendochte ein abermaliger definitiver Torg auf den 18. Deeember c. anberaumt worden ist, welcher um 12 Uhr Mittags im Estländischen Kameralhofe abgehalten werden wird. Reval, den 1869. Nr. 626. 1  3a Вице-Губернатора, старшШ совЪтникъ: Hl. Цшшгманъ. Старпнй се*ретарь Г. ». Штейпъ, ","belarus","belarus-windows1251"
"3","livzeitung","livzeitung18940525.2.19","I*иго-/|тнlекля  ЖЕЛТАШЛЯ ДОРОГА. По каявлетю товарополучателя &gt;l. Домбронгклго, дупликптъ НАКЛАДНОЙ къ отправка м. ск. Рудвя — Рига М 702 отъ 6 Мая 1894 г. считать утриченнымъ. 1 г. Рига, 18 Мая 1894 г. Унрпвленк». ","belarus","belarus-windows1251"
"4","ekmteataja","ekmteataja18720229.2.3.2","Таблица о времени закрытия и открытиа для павигации Ревельскаго порта.  Годи. Когда покрылся Когда открылся для рейдъ льдоиъ. навшгацш Въ 1858 г. — 28 Февраля. . 1859 , Н е з а а е р з а л ъ. « 1860 , 1 Февраля. 11 Марта. . 1861 , 2 Января. 13 Марта. , 1862 » 2 Января. 16 Апреля. » 1863 » Н е з а и е р з а л ъ. . .1864 . 6 Декабря. 18 Декабря. » 1865 . 19 Января. 13 Апр-Ьдя. . 1866 » 14 Февраля. 23 Марта. » 1867 » 24 Декабря. 23 Марта 1868 г. . 1868 » 24 Декабря. 10 Апреля 1869 г . 1870 . 13 Января. 24 Марта. » 1871 . 12 Декабря. 23 Апреля 1881 г » 1872 . 29 Января. ","belarus","belarus-windows1251"
"5","ekmteataja","ekmteataja18720805.2.3.3","Спб. Биржа. Курсъ на три месяца, 1 Августа 1872 года.  На Лондонъ 32 18 4 г , 7 / 16 певс. » Амстердамъ 163 цеиц. » Гамбургъ 29%, ä / ie шил. банк. » Парнжъ 347 У 4 , % сант. Wechfel-Cours. St. Petersburg, den 1. August 1872 Auf London.. 3 Mon. 32y-, -fo . . pr. 1 Rbl „ Amsterdam do. 163 do. „ Hamburg. do. 29f, А. . . do. „ Paris... do. 347|, ~ , do. ","belarus","belarus-windows1251"
"6","ekmteataja","ekmteataja19070719.2.6.2","1 3 Пааьбергъ, Iоганъ Äsas. ар. ев. 4 Кмьбергъ, Янъ Петров, л. пр. Bai. 5 Кальке, Карлъ иедв. 6 Бальдлауръ, Иванъ Эдуардов. кв. нал. 7 Кальманъ, Рейнутъ Гансов, кв. 8 Кальнусъ, Вольдеиаръ Егоров, л. пр. нал. 9 Кальнусъ, Iовасъ Юганов. пр. св. 1260 Надышись, Викеяий Матвеев, сл. 1 Калью, Янъ недв. 2 Вавбяльдтъ, Карлъ Тввов. вв. нал. В Каыинсмй, Августъ Францов. ci. 4 Ваннъ, Тенисъ Мигкелев. пр. ев. 5 Ваннъ, Мартъ Юганов. сл. 6 Кана, Якобъ Мартов, ЕВ. 7 Кангернанъ, Гакеъ Якобов, вв. 8 Кангуръ, Густавъ Мартов, пр. «в. 9 Кангуръ, Iозепъ Якобов, вв. 1260 Бангуръ, Фрндрвхъ Юганов. пр. св. 1 Бандауровъ, Николай Николаев. вв. нал. 2 Вавеиаги, Оеодоръ Мартенов, сл. 3 Ваннаетикъ, Тоыасъ Аннуеов. пр. св. 4 Канебергъ, Иванъ Иванов, пр. ев. &amp; Кантеръ, Мартъ Гансов. &gt; 6 Кань, Гуго Иванов, сл. 7 Канъ, Янъ Янов. вв. 8 Каппель, NM Юрьев, вв. 9 Капнъ, Алевсавдръ сл. 1270 Карабановъ, Павелъ Васильев, кв. нал. 1 Карасевъ, Владишръ Нилов. » 2 Бараокъ, Людвигъ Иванов, л. яр. нал. 3 Барелль, Карлъ Iоенфов. ел. 4 Барикъ, Карлъ Карлов, недв. Б Карвнъ, Эрнхъ Фридрихов, л. пр. нал. 6 Карловшй, Антонъ Людвигов, ел. 7 Карлсонъ, Густавъ Карлов, кв. нал. 8 Кардеонъ, Iогавъ loraeoß. кв. 9 Каролинъ, Андрее,ъ Янов. » 1280 Барпъ, Ряхардъ Эрнестов, л. нр. нал. 1 Карро, Густавъ Бустасов. вв. 2 Карро, Карлъ Адов. » 3 Карро, Карлъ Петров, недв. 4 Барро, Тенвеъ Тнннсов. кв. 5 Карро, Эрнетъ Гансов, л. пр. пал. 6 Кару, Iоганъ Гансов, кв. 7 Карукеъ, Августъ Гансов, пр. св. 8 Карукеъ, Рихардъ Гансов, сл. 9 Карфельдтъ, Деонгардъ Иванов, л. нр. нал. 1290 Каобергъ, Эдуардъ Мартов, кв. 1 Каскинъ, Юл!уеъ Егоров, недв. 2 Баокъ, Александра Карлов, ел. 3 Кавкъ, Карлъ Юрьев, вв. 4 Карсвъ, Робертъ Густавов, сл. 5 Каекъ, Фрвдо Михкелев. вв. нал. 6 Каекъ, Христккъ Юганов. сл. 7 Басфельдтъ, Тоганнееъ Яковлев, ведв. 8 Касфельдтъ, Мартинъ » 9 Басфельдтъ, Юганъ Якобов, пр. св. 1300 Басфельдтъ, Юрш Михкелев. , &gt; 1 Катлеръ, Павелъ-Робертъ вв. нал. 2 Катлеръ, Рейнгольдъ недв. 3 Каттаыъ, Якобъ Гансов, пр. св. 4 Баттеръ, Iоганъ Якобов. » &gt; &amp; Кауяенъ, Барлъ Иванов, сл. 6 Баукъ, lOpiä Юрьев, кв. 7 Каунанъ, Ральфъ Эдуардов, кв. нал. 8 Каунанъ, Теодоръ Францов. вв. нал. 9 Каунанъ, Францъ Францев. » &gt; 1310 Каутленбахъ, Iоганъ Янов. л. пр. нал. 1 Кадъ, Мовша Iовелев кв. нал. 2 КащевекШ, ВаевлШ Петров, сл. 3 Баандеръ, Николай Николаев, сл. 4 Кварштренъ, Барлъ Петров, пр. ев. &amp; КвасницкШ, Иванъ Фердинандов, кв. нал. 6 Кебасъ, Александра Мартов, вв. 7 Кеддеръ, Вилленъ Карлов, кв. 8 Еееръ, Петръ Петров, пр. св. 9 Кезель, Барлъ Карлов. &gt; &gt; 1320 Кенвъ, Густавъ Янов. кв. 1 Кейеръ, Эрницъ Петров, недв. 2 Кейзерлннгъ, Робертъ Робертов, вв. над. 3 Кейзерлингъ, Теодоръ Альфредов. &gt; &gt; 4 Кейзернанъ, Придвкъ Прицов. пр. св. 6 Келеръ, Юр!й недв. K Келиндеманъ, Явъ Тонасов. вв. 7 Келлеръ, Iоганъ Аданов. пр. св. 8 Беллеръ, Эдуардъ Михайлов, л. пр. нал. 9 Беллеръ, Эдуардъ кв нал. 1330 Беллеръ, Эииль Прицов. ел. 1 Кельдремягги, Магнусъ Гоганов. пр. св. 2 Бельверъ, Алекеандръ Александров, сл. 3 Бельхенъ, Августъ вв. нал. 4 Кенапеа, Алекеандръ Гансов, пр. св. &amp; Бевгсепъ, Адодьфъ Криетышов. вв. 6 Кевдлеръ, Карлъ Фридрихов, недв. 7 Кендъ, lOpifi Тенисов. вв. 8 Кевевичъ, Богданъ Антонов, ел. 9 Кензафъ, Оскаръ Адольфов, л. пр. нал. 1340 Бенвгсбергъ, Янъ недв. 1 Кеатнанъ, Алевсавдръ Барлов. кв. нал. 2 Кепъ, Янъ Петров, недв. 3 Бервъ, Вилленъ Мартов, кв. 4 Берге, Iоганъ недв. 5 Кердя, Алекеандръ Юганов. вв. 6 Кернанъ, Ганеь Гансов, кв. 7 Кернбергъ, Iоганвееъ Барлов. пр. св. 8 Керстъ, Освальдъ Густавов, л. пр. нал. 9 Керстъ, Роианъ Густавов. &gt; &gt; » 1350 Бертов, Михкель Михкелев. вв. 1 Еертсъ, Мартъ Янов. вв. нал. ","belarus","belarus-windows1251"
"7","ekmteataja","ekmteataja18710714.2.3.3","С.-Петербургъ, 9 Июля 1871 г.  Спб. Биржа. Курсъ на три месяца. 9-го Iюля 1871 года. На Лондон® 31 V B , 18 / 1В) пенс. » Амстердамъ t 58 l / 4 , 158 ценц. » Гамбурга 28 28 / ai , V ie шил. банк. » Парнжъ 337'4, 337 сант. » Бердинъ 89 88% тал. Wechfel-Cours. St. Petersburg, den 6. Juli 1871.  Auf London . . 3 Mon. 31£, -H • . pro 1 Rbl w Amsterdam do. IsB£ 158. do. „ Hamburg. do. 28 ff, Л . do. „ Paris. . . do. 337 . do. „ Berlin . . do. 89b 88$- . do. ","belarus","belarus-windows1251"
"8","livzeitung","livzeitung19040416.2.25","ZiüMv-ZlonnW  Нар. изд. Я. Верм ана. Для ознакомлешя одна км. высыя. беаалатнв. Сяб.. Фонтанна ?j. ","belarus","belarus-windows1251"
"9","livzeitung","livzeitung18980720.2.12","il 30 ima  Улаершаго 10 Iш&lt;&gt;я 1897 года шъ Iloryisßsrt, Двинсваго уФзда, Внтойской cfõepsiiä, вадвдрмаго совМвива Франца Леопольдовича Нацд- Иомврищш&amp;го. М 82Ü429. ","belarus","belarus-windows1251"
"10","ekmteataja","ekmteataja19120119.2.5","Примечание.  При этоиъ № 3 Эстлявдсввхъ Губернеаигь Ведомостей препровождается въ ПолвцеЗммя Гправдешя ЭстляндекоЁ """"губервш, ара отъ 18 января 1912 г. за Kt 188 ррибавлеше о lopraii, назначенныгь Конторою Ревельоваго Порта. ","belarus","belarus-windows1251"
