"","topic","term","beta"
"1",1,"wallas",3.72007597602084e-44
"2",2,"wallas",7.25169890628226e-56
"3",3,"wallas",8.943323651852e-56
"4",4,"wallas",3.72007597602084e-44
"5",5,"wallas",1.05394945218683e-55
"6",6,"wallas",0.00304423554456842
"7",7,"wallas",1.19199011910933e-55
"8",8,"wallas",1.36551899146941e-55
"9",9,"wallas",1.00207014356537e-55
"10",10,"wallas",0.000497343050638863
"11",1,"кат",2.80926179542871e-21
"12",2,"кат",3.62042203715661e-69
"13",3,"кат",4.94065645841247e-324
"14",4,"кат",1.1705691454235e-41
"15",5,"кат",1.25966921423272e-76
"16",6,"кат",2.48295946210125e-315
"17",7,"кат",2.55937636329393e-27
"18",8,"кат",0.00554101200920522
"19",9,"кат",1.77128868173006e-23
"20",10,"кат",4.78968135765439e-82
"21",1,"клуб",0.013799423743827
"22",2,"клуб",8.50529267016244e-33
"23",3,"клуб",7.59222196446442e-33
"24",4,"клуб",7.88714205742927e-13
"25",5,"клуб",1.76014020796093e-12
"26",6,"клуб",2.57999435955162e-22
"27",7,"клуб",3.64329894621229e-14
"28",8,"клуб",4.09396145950847e-34
"29",9,"клуб",2.02390609958825e-42
"30",10,"клуб",6.60222167428289e-53
"31",1,"вол",1.00451575939685e-27
"32",2,"вол",0.000389154715918545
"33",3,"вол",3.37394681500576e-14
"34",4,"вол",0.000796214433609518
"35",5,"вол",2.61787126847605e-67
"36",6,"вол",0.00190070450130037
"37",7,"вол",1.87158576483398e-50
"38",8,"вол",3.54610319408205e-35
"39",9,"вол",0.000123118037254831
"40",10,"вол",0.00265840085729798
"41",1,"рабочтй",2.78915003389015e-44
"42",2,"рабочтй",8.03134030904357e-68
"43",3,"рабочтй",1.22137882829892e-67
"44",4,"рабочтй",1.05135095609312e-55
"45",5,"рабочтй",1.3666445520931e-58
"46",6,"рабочтй",2.18887550998209e-67
"47",7,"рабочтй",0.00182906670458113
"48",8,"рабочтй",1.00602090914922e-55
"49",9,"рабочтй",1.76512362397764e-67
"50",10,"рабочтй",1.13102815687275e-55
"51",1,"тов",0.0492252793619781
"52",2,"тов",1.5562107691005e-25
"53",3,"тов",1.8545851681593e-17
"54",4,"тов",0.00481150671562706
"55",5,"тов",4.21823682259143e-28
"56",6,"тов",2.11067854843217e-24
"57",7,"тов",9.24665727002012e-05
"58",8,"тов",1.23868374686696e-16
"59",9,"тов",2.81674638727587e-33
"60",10,"тов",4.65087191863817e-36
"61",1,"ревель",0.00524425553587441
"62",2,"ревель",1.49092601967089e-13
"63",3,"ревель",4.74889645604649e-12
"64",4,"ревель",0.000437061009285799
"65",5,"ревель",0.00874416194166601
"66",6,"ревель",1.45426395817037e-13
"67",7,"ревель",0.00483202495128225
"68",8,"ревель",2.61690235624605e-17
"69",9,"ревель",1.98335636435395e-19
"70",10,"ревель",0.0148471761738601
"71",1,"тоже",5.80421986738985e-11
"72",2,"тоже",0.00197927880003187
"73",3,"тоже",4.06399179150442e-20
"74",4,"тоже",0.000267006318691509
"75",5,"тоже",4.10683825256556e-40
"76",6,"тоже",0.00429101202323885
"77",7,"тоже",1.04520095478701e-06
"78",8,"тоже",0.000741739684784824
"79",9,"тоже",2.94313518636292e-08
"80",10,"тоже",0.00217262697940255
"81",1,"дума",5.21210277581449e-14
"82",2,"дума",8.98056008811123e-09
"83",3,"дума",0.0250109526498106
"84",4,"дума",5.37776746980907e-11
"85",5,"дума",2.46312080366318e-11
"86",6,"дума",3.9130973120543e-09
"87",7,"дума",0.0085656846910912
"88",8,"дума",7.76143890322053e-17
"89",9,"дума",0.0111435437957647
"90",10,"дума",8.21164722624909e-19
"91",1,"мед",4.63238443795534e-23
"92",2,"мед",9.94153477159632e-34
"93",3,"мед",1.35392043370521e-65
"94",4,"мед",0.00326029528096836
"95",5,"мед",2.40140573363686e-20
"96",6,"мед",4.15806334019322e-09
"97",7,"мед",5.77583471606496e-21
"98",8,"мед",1.20014724919336e-304
"99",9,"мед",1.58738937156773e-98
"100",10,"мед",3.10553832931562e-24
"101",1,"гол",1.35545045392555e-18
"102",2,"гол",3.27208175429706e-32
"103",3,"гол",4.80643840499661e-38
"104",4,"гол",0.00522446362559511
"105",5,"гол",1.61466384220729e-66
"106",6,"гол",7.26401835765626e-41
"107",7,"гол",0.000188432163473877
"108",8,"гол",1.03737925489335e-27
"109",9,"гол",4.21358040440311e-36
"110",10,"гол",2.60620403074795e-35
"111",1,"сера",2.0161090842699e-28
"112",2,"сера",3.54799001262192e-100
"113",3,"сера",2.79037775137365e-54
"114",4,"сера",0.0038198812252607
"115",5,"сера",0.00059300782911154
"116",6,"сера",3.12849927136993e-14
"117",7,"сера",1.73956299013318e-26
"118",8,"сера",3.40937882732241e-205
"119",9,"сера",1.60719051252584e-250
"120",10,"сера",1.96208170873728e-18
"121",1,"гос",1.63401114786414e-22
"122",2,"гос",1.01143804810623e-14
"123",3,"гос",0.00944116303768932
"124",4,"гос",3.80901463034497e-07
"125",5,"гос",3.46216128585156e-18
"126",6,"гос",1.83033181439648e-06
"127",7,"гос",5.25838149184774e-11
"128",8,"гос",1.71454591260956e-10
"129",9,"гос",0.00831559018749102
"130",10,"гос",9.70088880198323e-21
"131",1,"соц",4.80391013549339e-09
"132",2,"соц",0.00170226338525272
"133",3,"соц",1.95068373841513e-08
"134",4,"соц",0.00858629947135919
"135",5,"соц",3.89639942000483e-31
"136",6,"соц",1.12380090036433e-19
"137",7,"соц",0.000963572765004522
"138",8,"соц",8.47158178003926e-08
"139",9,"соц",2.55858214507586e-24
"140",10,"соц",2.78374218888515e-47
"141",1,"статья",5.1333513442316e-05
"142",2,"статья",0.000714087327721286
"143",3,"статья",1.85995402192314e-07
"144",4,"статья",1.71781140127844e-14
"145",5,"статья",4.67556129353012e-36
"146",6,"статья",3.83310962726459e-06
"147",7,"статья",0.00353196527028613
"148",8,"статья",0.00399206089307452
"149",9,"статья",0.000114659054797192
"150",10,"статья",0.00339072064050046
"151",1,"господин",1.93177501994079e-25
"152",2,"господин",1.22823190189032e-10
"153",3,"господин",0.00117632351045958
"154",4,"господин",0.000332689499702281
"155",5,"господин",8.53797204890192e-53
"156",6,"господин",4.88038956618423e-11
"157",7,"господин",2.57087408484006e-38
"158",8,"господин",1.8013946190421e-34
"159",9,"господин",0.00483810748343553
"160",10,"господин",1.76555436634119e-38
"161",1,"отч",6.72171751808545e-268
"162",2,"отч",3.71938813782335e-21
"163",3,"отч",1.09604330217101e-22
"164",4,"отч",4.03972224930665e-28
"165",5,"отч",0.00109884280822466
"166",6,"отч",3.64910918269621e-11
"167",7,"отч",2.87777900144896e-83
"168",8,"отч",3.90118442670483e-44
"169",9,"отч",0.00179134013999016
"170",10,"отч",1.49283649841247e-249
"171",1,"союз",0.00858035553898521
"172",2,"союз",5.16010616853654e-12
"173",3,"союз",0.00307760593661559
"174",4,"союз",0.0309100693742473
"175",5,"союз",0.0063314827084079
"176",6,"союз",0.000524403305337079
"177",7,"союз",0.0184356709041025
"178",8,"союз",0.00330078759177434
"179",9,"союз",2.12916775916816e-17
"180",10,"союз",1.31947710731382e-26
"181",1,"jaani",4.94065645841247e-324
"182",2,"jaani",1.18874118820775e-55
"183",3,"jaani",3.72007597602084e-44
"184",4,"jaani",3.72007597602084e-44
"185",5,"jaani",1.23516411460312e-322
"186",6,"jaani",0.00208505483896557
"187",7,"jaani",3.72007597602084e-44
"188",8,"jaani",2.94572911736609e-36
"189",9,"jaani",3.72007597602084e-44
"190",10,"jaani",0.000260378304950209
"191",1,"вечер",4.14536721891777e-05
"192",2,"вечер",1.0880003883968e-27
"193",3,"вечер",3.52394956712557e-16
"194",4,"вечер",4.39430170735499e-06
"195",5,"вечер",0.0583794800450316
"196",6,"вечер",0.000140239939419603
"197",7,"вечер",0.00561095950594836
"198",8,"вечер",4.51191555031022e-22
"199",9,"вечер",8.684174831437e-31
"200",10,"вечер",1.19879839227308e-13
"201",1,"разра",4.9161636447913e-30
"202",2,"разра",1.64556789640122e-24
"203",3,"разра",4.61585312422412e-27
"204",4,"разра",0.00184611686394215
"205",5,"разра",1.77265926589805e-39
"206",6,"разра",2.81866058151014e-35
"207",7,"разра",1.63341501790228e-15
"208",8,"разра",1.09749785136768e-40
"209",9,"разра",1.39595938780984e-30
"210",10,"разра",0.00523813846127125
"211",1,"сова",0.0140003046953393
"212",2,"сова",1.71608206853656e-05
"213",3,"сова",0.022142267607916
"214",4,"сова",0.0106261896373886
"215",5,"сова",0.000123016743511465
"216",6,"сова",0.00593122311073762
"217",7,"сова",0.0299409349092569
"218",8,"сова",0.00885880016774551
"219",9,"сова",0.0038427032655294
"220",10,"сова",4.03953117539748e-08
"221",1,"больший",1.04435804114098e-32
"222",2,"больший",8.64080794442802e-05
"223",3,"больший",6.36071030160524e-11
"224",4,"больший",2.57459000349023e-11
"225",5,"больший",0.00313738571530362
"226",6,"больший",0.000926018170125653
"227",7,"больший",0.00201636924552758
"228",8,"больший",1.04583058238248e-25
"229",9,"больший",7.35618888876014e-54
"230",10,"больший",0.000363185506279429
"231",1,"прима",4.58388859133733e-35
"232",2,"прима",1.70338245518569e-10
"233",3,"прима",2.91804400628128e-36
"234",4,"прима",1.0159646467218e-33
"235",5,"прима",3.88207487044373e-24
"236",6,"прима",0.00135569412897609
"237",7,"прима",0.000206826065106356
"238",8,"прима",1.27060736891199e-105
"239",9,"прима",9.75881497409314e-06
"240",10,"прима",0.000599341085736658
"241",1,"совьт",1.73908332609453e-08
"242",2,"совьт",6.2143074156984e-55
"243",3,"совьт",7.85442445145993e-08
"244",4,"совьт",5.56245819627739e-39
"245",5,"совьт",1.8326809921525e-40
"246",6,"совьт",0.000252968477058052
"247",7,"совьт",0.00393478067818265
